课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩
信号与系统,专业课程,非公选课,余磊,老师讲得还可以，人挺好的,有签到有提问有小测有期中,闭卷考试，期中成绩也占比不小,90
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,陈简,老师很好，很温柔，和学生有互动，不会单独点人回答问题,每次要下课时会有一个小测，很简单都是选择题，计入成绩。,做50道选择题。都是平时练习出过很简单的,95
摄影,专业课程,非公选课,胡壮利,教摄影相关知识简单加上户外实践,有时微助教考勤，平时交照片,交十张结课摄影作品发到邮箱,93
计算机网络,专业课程,非公选课,周浩,给分比较仁慈，平时事少，可以选,随机考勤，最后甚至可以补签到,基于课本的开卷考试，难度很高但判卷松,90
电影与大众文化,通识选修课（公选课）,艺术体验与审美鉴赏,王红杰,超级无敌好，老师很耐心，有自己的理论体系，要知识有知识,无作业，无小组展示，??签到,论文或读书笔记都可以,90
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,多位老师一起上课,免疫相关知识 还有测血型等两次课堂小实验 很有趣,签到 有一次小组展示,随便 论文 作图都可以,95
智慧课程DIY,通识选修课（公选课）,科学精神与生命关怀,刘照，于洋洋，滕芸等,大学生的乐高玩具，老师也都很好很温柔,平常会有签到但没有平时作业和小组展示，课后没有作业，结课是实验报告结课,实验报告结课，这个是一开始就发给你，然后最后结课之后两周左右是ddl,90
戏曲审美导论,通识选修课（公选课）,中华文化与世界文明,易栋,讲述戏曲相关知识，还会提到美学鉴赏之类的,平时会有一两个签到，来的加分，不来的不扣分,论文结课。给定题目中选择，本人零基础，给分巨好，速冲,96
戏剧鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,杨诚,关于各个种类的戏剧与舞台艺术，可能来自不同国家不同文明，也有文化交融的产物，很有意思，有剧种的介绍，也有片段的观赏，老师讲得很有意思，那种细腻的，注意到或者不曾注意到的，很喜欢！,21年上学期上的，会有签到，结课是介绍一个剧，可以是报告也可以是视频等等各种形式。,介绍一个剧，报告或视频等形式,95
中国边界海洋问题,通识选修课（公选课）,中华文化与世界文明,匡增军,如课名 老师讲的比较浅,他偶尔会点名，有一个自愿的展示，讲的好可以加分，要写关于这门课的一个课程评价，事情稍微有点多,开卷考，几道题加结课论文,90
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,主要讲一些比较经典的音乐,两周一小测，无小组展示，无论文,结课考，上课听了很简单,91
古典音乐和西方文明,通识选修课（公选课）,艺术体验与审美鉴赏,葛佳嘉,老师讲课生动有趣，课程注重培养学生对西方古典音乐的兴趣，从宗教乐到贝多芬高斯各个时期。给分好，考试简单。,有一次签到，三次平时测验，比较简单,闭卷考试，50分是选择，考基础知识，50分是听歌识曲,90
国际礼仪,通识选修课（公选课）,中华文化与世界文明,李晶,比较水，最后考试写两篇600还是800字的作文，就行了,签到是在群里签到，几乎没有提问，没有小组展示，几乎没有作业,比较水，最后考试写两篇600还是800字的作文，就行了,90
大国外交,通识选修课（公选课）,中华文化与世界文明,赵嵘,好好好 老师人特别好,小组做一次ppt 组长投票选五个组展示 结课交有关自己ppt的内容的论文 但要手抄,手抄论文2000字左右不查重,95
数据库原理（实验）,专业课程,非公选课,安璐,平时都还好，事儿少，跟着教材做就好。但是！写的很认真的期末报告，被打了低分??????问她，她也说不清，气死,三次实验报告，签到是通过点人回答问题签,实验报告，这个是所有班统一的,85
核能及其应用,通识选修课（公选课）,科学精神与生命关怀,余亮英,每次有签到，期末给分会参考。,有签到，论文结课，其他没有,论文两页纸。。。。。。。,87
大学英语4,英语课,非公选课,黄又芝,西方文化相关内容 比如希腊文化 罗马之类,有随机的考勤签到 一次小组展示 主动发言期末可以免考口语 平时会有课堂检测 一般是词汇和课文理解 会提前告知 别的要求和大英一样,闭卷考试 大部分都是课文相关的题目,94
人文社科精神导引,通识必修课（导引课）,非公选课,宋时磊,老师讲课非常棒，给分也很好,课前小测验+小组展示+论文,小班研讨+考勤+小测验+结课论文,84
科学文献计量学,专业课程,非公选课,宏松,这门课挺水的，结课用PPT报告，也确实能学到点东西，不怎么耗时，跨专可以冲一冲,偶有签到，可以请假，提问也不会为难学生,PPT报告，可以个人也可以小组,92
高等数学A2,公共课（高数、线代、大物和思政课等）,非公选课,胡捷,老师很好，讲的很清楚，很负责,对着名单抽人答问题作为签到,平时：期末=4：6，和所有高数A一个标准,83
化学与生活,通识选修课（公选课）,科学精神与生命关怀,忘了,就化学与生活之间的关系,无平时作业，会有三次签到，presentation,论文结课，有present有加分,83
荆楚文化通论,通识选修课（公选课）,中华文化与世界文明,王萌,比较水，老师有意思，不过讲课也是PPT,随机四次考勤，一次prePPT,开卷可以带手机，一般三四道论述,85
新媒体地图学,专业课程,非公选课,任福,两个老师轮流授课，没有考勤,三次平时作业，包含一次小组作业,论文开放性题目结课 pdf版 十选五,90
经典广告案例赏析,通识选修课（公选课）,艺术体验与审美鉴赏,王晔,上课老师会分享很多有趣的广告,偶尔会签到点名，无平时作业,完成广告作业（音视频、平面设计或文案等均可）,96
微机原理,专业课程,非公选课,茹国宝,微型计算机原理与设计,偶尔点名 作业很重要。考试题经常有作业中的题,考试结课 平常会有点名 占比较小 写作业也有一定占比,98
大学英语2,英语课,非公选课,李加莉,老师比较认真，对学习很督促,有签到，每组都要有一次小组展示,期末考试，期中考试，课后作业完成,87
数据结构,专业课程,非公选课,陈刚,讲得好，给分差，不推荐,理论课事少，偶尔会有签到,闭卷考试，平时分不知道怎么给,81
诺贝尔奖史话,通识选修课（公选课）,科学精神与生命关怀,周平,诺贝尔奖内容 理科内容多 老师很好,一次pre 展示你喜欢的诺贝尔奖获得者,两篇论文，均为2000字左右,89
大学体育,体育课,非公选课,王石龙,上课轻松，教学任务少,少有签到，请假很轻松，给分很好,正常体育标准，除了乐跑，其他都能捞,93
公共经济学,通识选修课（公选课）,社会科学与现代社会,柳新元,很轻松老师很有趣也不考勤,没有签到没有点名没有作业什么都没有,闭卷考试但有很清晰的范围,95
概率论,公共课（高数、线代、大物和思政课等）,非公选课,袁海丽,概率论知识，老师很好很捞,每节课基本都有作业，但本来就要练题,闭卷考试，全校统一卷子考,95
逻辑思维训练,专业课程,非公选课,杜珊珊,可以学到很多逻辑学相关知识，对考公帮助很大,无提问，无小组展示，有几次平时作业,平时作业成绩?期末闭卷,91
西北地区水资源与生态环境,通识选修课（公选课）,科学精神与生命关怀,谢平,主要讲西北地区的水资源和环境问题，老师的人生态度让我收获甚多，不过可惜的是老师要退休了,有签到和7个人小组展示,14个讨论题，都很好找答案,93
马原,公共课（高数、线代、大物和思政课等）,非公选课,黄沁茗,事情很少分不错老师也好,三次签到，一次小组展示，基本没有提问,闭卷加上mooc加上考勤,91
能源科学概论,通识选修课（公选课）,社会科学与现代社会,没记住,授课内容比较枯燥，签到严格,每节课都有签到，有定期的课堂测验,开卷考试，可能会有结课论文,90
近现代中国外交关系,通识选修课（公选课）,中华文化与世界文明,王萌,很好很好很好很好很好,有签到但不不是很频繁不签也没什么影响,开卷考试问答题都是历史问题可以百度,92
自然资源概论,专业课程,非公选课,方荣新,很好。。。。。。。。。。。,有签到，小组无，有提问，大作业为arcgis,闭卷考试。。。。。。。。。。。,93
西北水资源,通识选修课（公选课）,科学精神与生命关怀,谢北平,非常好！！！老师很有趣上课讲地理知识跟自己的亲身经历,有小组作业，结课是纸质题目,给几个题目开卷，打印纸质最后一周交就好,95
人文社科经典导引,通识必修课（导引课）,非公选课,周可,人文经典，论语，坛经，庄子，审美教育书简，国富论，斐多,小组任务都很轻松，比如ppt展示，论文研读等,3000字论文，加上平时的小测,92
