课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
韩国语言与文化,王佳佳,简单的韩语和韩国文化，老师很好 很和善,说有五次点名，但其实只点了一次,闭卷考试，但不难，简单背一下单词就能有高分,97
媒介素养,王松茂,现代媒介传播中存在的问题,会有一次考勤，一次小组展示及书面总结，一次1000字的作业,3000字的结课论文，不查重,82
旅行生活与寄生虫,蔡国斌,课如其名 ppt上全是各种寄生虫,上课不签到也不点名 平时没有任务,期末3000字不查重论文结课,90
宇宙新概念,赵江南,闭眼冲！老师人很好上课会讲小故事，很幽默风趣，就是老师好像快退休了,没有平时作业，不点名,开卷考试，可以带书带电子产品，最好是带老师的《宇宙新概念》,90
性传播疾病和青春期健康,熊海蓉,性教育、性疾病、青春期发育等知识,有随机签到，无平时作业,不限主题的3000字论文和不限形式的小组作业,95
音乐欣赏,江柏安,"嘎嘎好老师，上课也可以 但是不让玩手机
",会有签到，每节课都有作业,会有一个考试，但是还可以,90
中国精神导引,吴默闻,88。 给90的很少,上课摸鱼即可，抽人回答问题，不会回答也没事,3000字论文一篇，无考试,88
旅行生活与寄生虫病,蔡国斌,"在日常生活与出外旅行时可能遇到的各类寄生虫
评价：无脑冲好吧，能选上就选",上课不点名；有两次线上作业，选择题；要给五个同学做寄生虫病的调查问卷；结课方式为小论文，不查重。,2000字以上小论文，不查重,93
音乐欣赏,陈简,有点无聊，每节课都有测试,每节课都有测试所以每节课都要去,100个选择题考试，都是平时考试的,97
简明世界史,潘迎春,讲课能开拓视野，以前说给分很好，现在感觉一般，很多人因为太低还去找教秘改分了,说会签到但一次都没有签到，有两周慕课,可以拿电子设备开卷，写论述题,87
色彩原理与应用,马桃林,老师挺好的，给分也高，基本都是90+,作业是仨论文，有一次签到,交三篇论文，每篇两千多字,95
多媒体技术与虚拟现实,陈萍,超好！！！上课讲Adobe里的ps，pr，An，还有3ds Max，内容很充实，ps讲的很细。但可能会节奏偏快。科学类速选！！！给分超好！！！,不考勤，作业系统上可以提交小作业（但好像从来不交也行）,期末写一篇学习报告（2000字），自愿交个作品,94
公共经济学,柳新元,讲的老师有自己的思想，但是期末有被卡绩可能,无任何平时分，上课不用来,闭卷考试，但是有时可以看手机,88
口头艺术与民俗文化,李向振,课程内容有意思且给分很高,不定期签到，结业作业是一篇原创故事3000字,无考试，交一篇不低于3000字原创故事,98
音乐欣赏,江柏安,上课听音乐，老师讲课也很有热情和有趣，就是上课最好不要玩手机（被抓到也没关系，不会被记名）,没有考勤，没有平时作业。会有网课，但不用都刷完，只需要把题目做完就好，不会做也可以随时在群里问老师和同学,期末开卷考试，超级简单，老师会在考试过程给提示，期末考试很多人都满分了,97
景观地学欣赏,刘小燕,内容充实丰富，高中地理有所设计，但讲得更生动通透,有时会签到，无提问，有一次小组展示和一篇结课论文,两千字的结课论文，内容为上课的任意一个相关专题,92
中国小说与社会,xxx,老师超级好，好多满绩的,不怎么考勤，没什么作业,开卷考试，就两三个论述题，很简单，不听也会,90
音乐欣赏,江柏安,各种音乐还是很好听的很享受,每节课一次小测，一共十次,测试，看题在问卷星输答案,99
英国历史文化要览,余诗龙,经常点名，两次pre卡绩了，还行,两次小组展示，经常点名，没有别的作业,考试                  ,89
植物世界,汪小凡,非常有趣和有用的一门课，可以学到许多身边植物的知识。老师很负责温和，幽默风趣，有讲不完的小故事,两次签到，一次标本采集和制作，一半课时为室外考察,全选择题考试，内容为据图判别植物种命、科名,98
中国精神导引,杨建兵,课本十几讲，讲ppt,小组展示两次较麻烦，偶尔提问加分，好像有几次签到，没平时作业,三千字论文但原本打算闭卷的,88
人口、资源、环境与可持续发展,钟自映等,很水，第一个老师说来不来都没关系，但是给分很迷，好像大多都是80－85左右,中间有两次随堂平时作业，手写，给个题目写几百字，可百度,随堂开卷考试，好像是三个题，虽说不可以用电子设备，但拿手机去老师也不会说什么,88
演讲与口才,陈建军,老师讲的通俗易懂，人也很和蔼,会以交课堂作业的形式间接签到。结课方式是当堂写一篇演讲稿，平时会有课前演讲和其中的诗歌朗诵展示。想提问都是很简单的让朗诵一下，没有小组展示，没有论文和大作业。,结课方式是当堂写一篇演讲稿，平时会有课前演讲和其中的诗歌朗诵展示。课前演讲会提前告知题目，参加和不参加看个人意愿，如果参加了课前演讲和诗歌朗诵展示成绩应该会比较好,92
黄河史,梁利,黄河及其文化发展史，一些与黄河相关的东西,每节课签到，有提问不强制，两次小作业，论文结课,论文结课，三个题目选其一，3000字,92
海外中国形象史,李会玲,讲述内容大概是中国与西方的交流史，后半部分侧重于讲解中国形象的变化，个人认为很有收获，讲解也比较有意思，比较生动,从第四节课开始次次纸质表格签到，有两次纸质作业，有一次点名分享,开卷考试，ppt会提供给我们，可以提前打印（但还是建议好好听，有的内容不在ppt上/很难找到）,87
韩国语言与文化,王佳佳,韩语入门与韩国文化，以韩语为主，用的教材是高丽大学韩国语，老师人特别好，讲课很耐心，认真听课90+没问题,没有签到提问和pre,闭卷考试，只有选择题，因为是第三学期所以老师说题目出的比较简单，听课了基本上会写,98
地铁与城市文明,苏凯,地铁，总的来说比较水,有考勤，无平时作业。。。。。。,最后有一个小组展示视频，介绍地铁站,90
户外运动与博物教育,许少峰,老师人很好，能学到东西,多种考核，事比较多但有趣,开卷考核，内容包括讲课的ppt和老师提到的内容,92
学习科学与大学生学习,廖旭梅,从正确认识自己出发，在科学的方法下收获自己的成长。老师上课很好啊，课堂氛围也很好,没有签到，老师上课会随机提问，问题很简单，有个人展示，平时作业每周都有固定的,提交一篇五千字的论文,95
中国现代视觉文化,张园，还有一个忘记了,鉴赏电影，视觉化创作,无考勤，有一次小组展示，论文结课,论文结课，老师在后两周会公布题目,83
环境与人类,施晓文,老师讲的很好，但是是个很好的水课，论文结课，要求不高，最后会有一个实习但是很简单，水课可选,有一次平时作业，不点名，小论文结课,论文结课，一次平时作业加最后的实习成绩,93
光科技在现代生活中的应用,周辉,讲光科技的六大应用，还挺有意思的,有签到，没有提问、小组展示之类的，,交一个结课论文（不限字数）或一个ppt，开卷考两个小时,90
太极文化与健康,蔺志华,老师讲课很好，给分不错，平时上课是冥想喝茶还有分享养生知识,平时有一个小组pre，平时偶尔有小组讨论,写课程感想，难度算不大，压力较小,95
环境与人类,施晓文,老师讲的很好，但是是个很好的水课，论文结课，要求不高，最后会有一个实习但是很简单，水课可选,有一次平时作业，不点名，小论文结课,论文结课，一次平时作业加最后的实习成绩,93
诺贝尔生理或医学奖,刘永明,老师人很好，很负责  主要就讲诺贝尓生医奖的相关内容,有签到，有一次不签到不用来的机会    无提问    有一次小组展示  论文结课,论文结课，老师人很好，会捞的,92
金融工程创新艺术,叶永刚,介绍了一些基本金融知识，引出县域金融工程,无作业，会组织实践活动,提交一篇指定主题的论文,90
朝鲜半岛问题研究,王佳佳,非常非常好，有几周下雨老师还让我们在宿舍上网课,只点过一次名，没有作业,开卷考试，可以带手机,96
美的历程,周祝红,主要内容是哲学形态下的美学思想，主体的内容以教材为主线，上课有PPT,无签到但是三次开卷考试测验，论文展示结课，测验考察专业知识，比较硬核,美学鉴赏论文＋pre,77
